"bike_id","city_id","time_start","lon_start","lat_start","lon_end","lat_end","station_id_start","station_id_end","battery_start","battery_end","duration","distance"
2204,177,1661625901.000000,10.006387,53.733744,9.989464,53.734158,319412,66682,,,360.000000,1114.07602787
11092,438,1662355201.000000,8.766947,50.790362,8.763266,50.795224,4774539,4774543,,,240.000000,599.3540143
11092,438,1662359101.000000,8.763266,50.795224,8.766971,50.807894,4774543,4774269,,,1020.000000,1432.69993234
11092,438,1662389161.000000,8.766971,50.807894,8.773266,50.801337,4774269,4774527,,,960.000000,852.80591081
11092,438,1662396061.000000,8.773266,50.801337,8.762144,50.798841,4774527,4774452,,,540.000000,829.44905524
11092,438,1662406201.000000,8.762144,50.798841,8.779437,50.785589,4774452,4774375,,,1320.000000,1910.20483111
11092,438,1662446881.000000,8.779437,50.785589,8.77305,50.808867,4774375,4774295,,,840.000000,2627.03579623
11092,438,1662500821.000000,8.77305,50.808867,8.774681,50.822927,4774295,4774204,,,540.000000,1567.59630478
11092,438,1662533521.000000,8.774681,50.822927,8.772242,50.816058,4774204,14235672,,,420.000000,782.78067283
11092,438,1662547021.000000,8.772242,50.816058,8.770072,50.804277,14235672,4774368,,,3300.000000,1318.83254456
11092,438,1662567241.000000,8.770072,50.804277,8.770734,50.813691,4774368,6666288,,,480.000000,1047.82345735
11092,438,1662567721.000000,8.770734,50.813691,8.775351,50.80807,6666288,4774360,,,420.000000,704.19820722
11092,438,1662635161.000000,8.775351,50.80807,8.773736,50.819957,4774360,4774470,,,720.000000,1326.63712248
11092,438,1662661021.000000,8.773736,50.819957,8.774681,50.822927,4774470,4774204,,,780.000000,336.85505333
11092,438,1662669961.000000,8.774681,50.822927,8.772413,50.809372,4774204,,,,600.000000,1515.64792726
11092,438,1662720781.000000,8.772413,50.809372,8.752965,50.798656,,4774459,,,600.000000,1813.17115861
11092,438,1662725761.000000,8.752965,50.798656,8.774697,50.803751,4774459,4774562,,,600.000000,1628.94793526
11092,438,1662743281.000000,8.774697,50.803751,8.779429,50.809813,4774562,4774503,,,780.000000,751.61548147
11092,438,1662909901.000000,8.779429,50.809813,8.774681,50.822927,4774503,4774204,,,660.000000,1495.8773597
11092,438,1662910921.000000,8.774681,50.822927,8.772591,50.821995,4774204,,,,420.000000,179.70420166
11092,438,1662913081.000000,8.772591,50.821995,8.774681,50.822927,,4774204,,,540.000000,179.70420166
11092,438,1662919801.000000,8.774681,50.822927,8.773736,50.819957,4774204,4774470,,,240.000000,336.85505333
11092,438,1662923521.000000,8.773736,50.819957,8.775086,50.827921,4774470,4774464,,,480.000000,890.62030663
11092,438,1662969961.000000,8.775086,50.827921,8.773736,50.819957,4774464,4774470,,,600.000000,890.62030663
11092,438,1662979741.000000,8.773736,50.819957,8.775351,50.80807,4774470,4774360,,,1020.000000,1326.63712248
11092,438,1662983341.000000,8.775351,50.80807,8.770734,50.813691,4774360,6666288,,,360.000000,704.19820722
11092,438,1662987841.000000,8.770734,50.813691,8.775351,50.80807,6666288,4774360,,,360.000000,704.19820722
11092,438,1662989461.000000,8.775351,50.80807,8.773736,50.819957,4774360,4774470,,,480.000000,1326.63712248
11092,438,1662993721.000000,8.773736,50.819957,8.775948,50.813203,4774470,4774305,,,480.000000,766.9210144
11092,438,1662995221.000000,8.775948,50.813203,8.774697,50.803751,4774305,4774562,,,420.000000,1054.68538468
11092,438,1663004941.000000,8.774697,50.803751,8.76616,50.81395,4774562,13391528,,,1140.000000,1282.94954046
11092,438,1663013461.000000,8.76616,50.81395,8.775086,50.827921,13391528,4774464,,,780.000000,1675.27399512
11092,438,1663036921.000000,8.775086,50.827921,8.769918,50.807063,4774464,4774567,,,840.000000,2347.55191244
11092,438,1663048321.000000,8.769918,50.807063,8.759248,50.804725,4774567,4774574,,,300.000000,793.5697021
11092,438,1663049941.000000,8.759248,50.804725,8.772242,50.816058,4774574,14235672,,,600.000000,1556.14924188
11092,438,1663066201.000000,8.772242,50.816058,8.77305,50.808867,14235672,4774295,,,480.000000,801.61654819
11092,438,1663067941.000000,8.77305,50.808867,8.782821,50.805809,4774295,4774277,,,360.000000,766.17288835
11092,438,1663069681.000000,8.782821,50.805809,8.775351,50.80807,4774277,4774360,,,300.000000,582.00599083
11092,438,1663073701.000000,8.775351,50.80807,8.774697,50.803751,4774360,4774562,,,1500.000000,482.44537248
11092,438,1663161541.000000,8.774697,50.803751,8.775351,50.80807,4774562,4774360,,,900.000000,482.44537248
11092,438,1663163101.000000,8.775351,50.80807,8.770734,50.813691,4774360,6666288,,,480.000000,704.19820722
11092,438,1663165201.000000,8.770734,50.813691,8.773736,50.819957,6666288,4774470,,,1620.000000,727.96785637
11092,438,1663175821.000000,8.773736,50.819957,8.770072,50.804277,4774470,4774368,,,2580.000000,1762.44145858
11092,438,1663225021.000000,8.770072,50.804277,8.775948,50.813203,4774368,4774305,,,360.000000,1074.97901972
11092,438,1663225501.000000,8.775948,50.813203,8.774697,50.803751,4774305,4774562,,,480.000000,1054.68538468
11092,438,1663336381.000000,8.77305,50.808867,8.773736,50.819957,4774295,4774470,,,480.000000,1234.09491832
11092,438,1663355941.000000,8.773736,50.819957,8.775086,50.827921,4774470,4774464,,,360.000000,890.62030663
11092,438,1663359301.000000,8.775086,50.827921,8.77305,50.808867,4774464,4774295,,,720.000000,2123.53345098
11092,438,1663376041.000000,8.77305,50.808867,8.782821,50.805809,4774295,4774277,,,360.000000,766.17288835
11092,438,1663402501.000000,8.782821,50.805809,8.780602,50.812779,4774277,5220935,,,420.000000,790.55751263
11092,438,1663408921.000000,8.780602,50.812779,8.775351,50.80807,5220935,4774360,,,360.000000,640.54645985
