"id","bike_type_id","computer_id"
400481,196,83300002927
374044,204,7551171765
373778,204,7551140444
34749,14,0
88359,143,7551052355
374297,204,7551171579
373960,204,7551169969
400648,150,7551123932
373927,204,7551166784
75518,174,0
77035,4,0
28548,174,0
900036,150,7551051857
29302,4,0
27562,174,0
374204,204,7551167436
57251,71,7551019635
651190,71,7551015791
57646,71,7551018203
431961,196,7551128893
55783,2,0
400357,196,83300001750
373060,204,7551151498
501267,150,7551026962
610405,150,7551136879
44517,196,7551126702
89255,143,7551094874
500898,196,7551127193
500844,71,7551038585
35871,150,7551037450
431969,196,7551128769
432312,196,7551159447
432340,196,7551160409
373243,204,7551150204
43368,71,7551063143
486749,209,7551094194
500380,196,7551126213
826851,15,27019
826853,15,20355
54102,71,7551021192
88464,143,7551061150
88640,143,7551080655
374268,204,7551167280
600048,71,7551056594
650432,71,7551013842
57175,71,7551018737
45647,14,0
430613,150,7551061758
374381,204,7551170501
224690,196,7551079006
224691,196,7551121141
500180,196,7551127125
502225,196,7551126310
410029,214,10000136255
373677,204,7551133116
501338,150,7551026831
431796,196,7551125324
825636,182,7551063720
88389,143,7551048685
88461,143,7551061355
42771,150,7551035451
54110,71,7551017209
374333,204,7551172050
381473,196,7551114116
34011,150,7551140765
30715,4,0
26610,174,0
15063,15,26064
45407,71,7551089951
604197,71,7551038993
30630,4,0
503286,150,7551115234
431068,150,7551058748
503005,196,7551116874
611213,150,7551137860
410024,214,10000128847
400494,196,83300000839
42636,143,7551060422
42865,71,7551003147
430015,71,7551029005
431116,150,7551056908
430140,71,7551063312
483925,198,7551047625
48219,4,0
63414,4,0
432334,196,7551160396
401417,150,83300000343
54696,196,7551171931
484068,210,7551094871
430777,150,7551060530
430074,71,7551029056
381249,196,7551114335
431650,196,7551124858
372917,204,7551150096
374500,204,7551172186
54646,196,7551172065
430854,150,7551055644
826962,15,29847
62570,4,0
14861,15,38617
501715,150,7551027052
54467,150,7551054119
37799,71,7551109177
224685,196,7551069134
224687,196,7551139673
224686,150,7551124923
54642,196,7551169131
54639,196,7551169134
355227,196,7551157012
374165,204,7551166971
400544,196,83300000848
501632,196,7551124622
373687,204,7551138224
374509,204,7551169271
373072,204,7551150760
62607,4,0
23891,112,0
23883,4,0
23840,4,0
88393,143,7551056510
54915,150,7551076972
54655,150,7551037268
501974,150,7551038947
54647,196,7551172125
355198,196,7551167378
501664,150,7551062585
400509,196,83300001777
401289,150,83300000346
88367,143,7551076777
58642,4,0
431689,196,7551125326
77927,4,0
431121,150,7551056914
502390,150,7551072495
500193,71,7551029120
501616,150,7551046572
355291,196,7551162649
355261,196,7551168717
355259,196,7551166756
355256,196,7551168625
355173,196,7551168623
501668,150,7551059581
500232,196,7551124608
372502,204,7551131454
373292,204,7551135929
77924,4,0
310214,150,7551016417
29535,4,0
530765,204,7551133579
224692,150,7551123284
355217,196,7551157144
34564,150,7551094376
400650,150,7551134593
432271,196,7551157079
612550,150,7551143941
612095,150,7551133138
372968,204,7551151826
374234,204,7551167431
54366,150,7551069964
224683,150,7551126706
430072,71,7551025897
34017,150,7551140860
54708,150,7551076591
481382,200,7551072298
59638,4,0
64501,71,7551108134
501005,150,7551046041
373515,204,7551142643
373220,204,7551142964
381327,196,7551113797
302741,196,7551125827
57221,71,7551016362
57700,71,7551018822
650111,71,7551028455
57828,71,7551028035
431698,196,7551126038
607053,150,7551119649
352538,150,7551123838
355307,196,7551166899
355282,196,7551166723
355260,196,7551168694
355182,196,7551152567
484978,198,7551049542
373605,204,7551141576
829248,15,27152
829247,15,24965
401426,150,83300000342
530440,204,7551118105
88505,150,7551077151
67777,71,0
13148,15,20611
35794,150,7551045795
34021,150,7551140269
501821,150,7551058743
62593,4,0
89424,143,7551084550
34055,150,7551139849
374494,204,7551172168
224702,196,7551077175
400306,150,7551156075
373950,204,7551168653
373520,204,7551139487
487205,245,7551140982
650907,71,7551028504
501905,150,7551058625
432339,196,7551160399
34597,150,7551094056
77861,157,0
432264,196,7551156855
224693,196,7551114387
224695,196,7551115863
501983,150,7551037544
381292,196,7551116383
615637,4,0
372760,204,7551150384
372884,204,7551152553
310528,150,7551072624
401415,150,83300001524
63659,4,0
54115,29,7551157538
401109,150,83300004024
373078,204,7551151343
615651,4,0
615647,4,0
615646,4,0
615645,4,0
615638,4,0
484580,198,7551053638
372787,204,7551151672
401179,150,83300000877
373270,204,0
310539,150,7551072692
310354,150,7551038311
310446,150,7551070716
503126,150,7551058182
484061,210,7551082113
374411,204,7551169190
373439,204,7551141400
615657,4,0
374510,204,7551171865
374243,204,7551168084
41185,15,24019
41194,15,25140
41150,15,25002
41199,15,25154
41283,15,25155
41323,15,24614
41236,15,24982
41341,15,23434
41268,15,23369
41107,15,24942
54667,150,7551037960
54292,71,7551063049
502095,150,7551037845
54644,196,7551172066
355270,196,7551166849
355264,196,7551168452
355167,196,7551154905
355120,196,7551160253
355014,196,7551157135
373276,204,7551132984
400420,196,83300000806
28752,174,0
28540,174,0
826052,182,7551093888
501647,150,7551059589
373017,204,7551152525
373150,204,7551149648
96896,174,0
25219,174,0
28498,174,0
96483,174,0
97207,174,0
97595,174,0
76908,174,0
24548,174,0
501513,150,7551046394
931495,196,7551171982
931463,196,7551171984
901759,196,7551154744
901758,196,7551161512
901771,150,7551092900
355209,196,7551157025
373494,204,7551139055
374181,204,7551167207
372708,204,7551152277
372600,204,7551151944
89435,150,7551093461
901856,196,7551157728
901811,196,7551153329
901760,196,7551153121
222589,196,7551113487
222444,196,7551114084
221969,196,7551071047
381213,196,7551123632
615656,4,0
615655,4,0
615654,4,0
615653,4,0
615652,4,0
615650,4,0
615649,4,0
615642,4,0
400417,196,83300001634
97221,174,0
373755,204,7551138298
71563,71,7551013813
401569,150,83300000417
372624,204,7551151207
651239,71,7551051420
57856,71,7551034612
57791,71,7551085856
57779,71,7551034807
57241,71,0
431613,196,7551107532
382569,150,7551034349
89608,143,7551109946
373490,204,7551131266
486019,208,7551047932
400147,150,7551063242
372730,204,7551151774
373528,204,7551139510
373659,204,7551132286
374004,204,7551168867
601234,71,7551012061
601230,71,7551034373
601225,71,7551038466
601346,114,7551086919
601299,71,7551017286
601291,71,7551036229
431039,150,7551058422
89556,143,7551110894
89670,120,7551110515
89626,143,7551113644
89601,143,7551109941
89675,143,7551110509
373425,204,7551142100
374389,204,7551169836
54674,150,7551035476
54660,150,7551036810
373433,204,7551136778
380196,196,7551117740
372796,204,7551151412
373742,204,7551132231
373419,204,7551142220
66200,15,40000
530610,204,7551120732
16722,150,7551171187
23595,196,7551090122
355144,196,7551159122
355007,196,7551160295
372539,204,7551150459
373473,204,7551143177
373418,204,7551140507
827117,15,27662
431567,196,7551110545
430128,71,7551027825
373584,204,7551134325
373081,204,7551150417
373173,204,7551151156
826938,15,0
36909,120,7551110095
355313,196,7551166852
355311,196,7551166811
355298,196,7551171189
355232,196,7551168115
355211,196,7551166866
355100,196,7551160293
372902,204,7551150075
373045,204,7551152413
373881,204,7551167339
26983,174,0
34563,150,7551095034
34544,150,7551094080
345131,192,7551114449
355318,196,7551168137
355308,196,7551166846
355304,196,7551171486
355289,196,7551163325
355272,196,7551166681
355252,196,7551167244
355246,196,7551166814
355234,196,7551168675
355230,196,7551157184
355229,196,7551160071
355193,196,7551167386
355191,196,7551167379
355184,196,7551150807
355303,196,7551170806
355293,196,7551157960
355284,196,7551163042
355280,196,7551157759
373547,204,7551128439
372643,204,7551150787
373039,204,7551152550
97947,174,0
224689,150,7551131228
54149,71,7551017184
224694,196,7551110561
400541,196,83300000827
372978,204,7551151947
27705,174,0
96923,174,0
503034,150,7551061635
611542,150,7551137526
54808,150,7551081437
373818,204,7551135857
373305,204,7551143876
373540,204,7551132946
530439,204,7551119600
373901,204,7551167517
373753,204,7551137250
75467,37,0
54733,150,7551081404
24217,37,0
75455,37,0
24235,37,0
24219,37,0
34787,14,0
34741,14,0
35729,150,7551094276
432311,196,7551159455
401131,150,83300001338
49995,198,7551047967
49994,198,7551047715
827326,15,25718
224697,196,7551109108
401001,150,83300000524
46991,150,7551068834
97995,174,0
75077,174,0
75170,174,0
604434,130,7551027624
374336,204,7551169101
484063,210,7551094784
484062,210,7551094000
484060,210,7551086609
373728,204,7551137399
501036,196,7551110071
374253,204,7551169559
372638,204,7551150324
374340,204,7551169261
430887,150,7551056891
58713,4,0
374054,204,7551167372
89293,143,7551093993
373892,204,7551168673
42986,71,7551046475
96881,174,0
400493,196,83300000666
346594,192,7551112063
483970,198,7551172119
54424,150,7551076967
401581,150,83300000728
502344,150,7551072561
430869,150,7551061800
400170,150,7551059267
400146,150,7551064039
373129,204,7551150675
89389,143,7551077214
372868,204,7551150133
374357,204,7551170419
42498,150,7551037491
96382,174,0
25528,174,0
310585,150,7551079360
42631,143,7551059769
34906,14,0
34779,14,0
35761,14,0
35757,14,0
59193,4,0
90215,71,7551167826
355109,196,7551157085
20694,71,7551025860
88408,143,7551050712
29589,4,0
380013,196,7551121316
503182,150,7551058602
430273,71,7551063837
400525,150,7551135720
355161,196,7551153354
430000,71,7551029272
372540,204,7551152164
400501,196,83300002420
373036,204,7551150767
373607,204,7551069691
372945,204,7551151030
83944,15,36228
34621,14,0
827325,15,21292
88445,143,7551093600
503387,196,7551080297
400516,150,7551136025
372594,204,7551151242
14809,15,22209
48639,198,7551079902
13373,15,40101
13677,15,36640
25120,174,0
54645,196,7551172067
430939,150,7551057756
400533,196,83300000813
931656,196,7551152899
374423,204,7551169284
400600,196,83300001394
68228,152,0
67230,152,0
67297,152,0
483886,198,7551047409
31629,196,7551123328
901756,150,7551048809
901757,150,7551092938
400613,196,83300000290
64522,71,7551088574
503078,196,7551110604
431979,196,7551126894
931631,196,7551153389
374407,204,7551171904
374211,204,7551158738
401012,150,83300002466
44842,71,7551086659
42863,71,7551004918
42683,143,7551070577
401589,150,83300002589
355269,196,7551168782
355221,196,7551160247
355179,196,7551167299
355128,196,7551153527
355024,196,7551157032
374081,204,7551166870
931565,196,7551154374
373586,204,7551144066
400450,196,83300004049
63532,68,0
372618,204,7551151673
89386,143,7551078091
89304,143,7551084205
42813,71,7551003904
430671,150,7551058687
355107,196,7551157158
355008,196,7551157174
931569,196,7551153399
373533,204,7551142285
372801,204,7551151305
372566,204,7551150274
42696,143,7551070094
42192,4,7551048751
22066,15,29331
224684,196,7551078773
401250,150,83300002015
400431,196,83300001059
373631,204,7551136113
372824,204,7551149643
486727,208,7551048731
88474,143,7551050688
401278,150,83300000353
400362,196,83300000588
374189,204,7551166708
826850,15,35615
14086,196,7551121611
31452,196,7551113467
64963,15,32679
400056,150,7551064033
502275,150,7551034799
374421,204,7551169148
400421,196,83300000624
88447,143,7551076910
59323,4,0
401089,150,83300001780
374155,204,7551166925
65957,162,7551060645
600609,71,7551056295
600594,71,7551056569
600540,71,7551056443
600218,71,7551056228
650886,71,7551050214
650640,71,7551029751
651508,71,7551057487
651633,114,7551057325
90439,71,7551025838
351210,196,7551118482
351203,196,7551117690
351198,196,7551109721
351196,196,7551116807
351191,196,7551108168
351183,196,7551110673
351178,196,7551120512
351172,196,7551119035
351160,196,7551118605
351159,196,7551117251
351152,196,7551120594
351150,196,7551122636
530469,143,7551077639
609035,4,0
373142,204,7551151164
372831,204,7551151772
373561,204,7551140488
826935,15,26317
603059,71,7551110786
374482,204,7551172220
502048,150,7551037726
374345,204,7551169448
373283,204,7551132988
373407,204,7551139005
825579,182,7551063809
373599,204,7551131822
14627,15,27907
14770,15,35308
485241,200,7551051156
13857,15,22467
13076,15,28040
14333,15,24949
25001,174,0
13127,15,40425
38273,15,22942
401311,150,83300001160
82333,15,23327
58221,4,0
88356,143,7551061450
374288,204,7551171092
486742,209,7551092967
613385,150,7551135051
9799,4,0
16197,15,38249
9805,4,0
16044,15,26347
830078,150,7551056003
9981,4,0
502403,150,7551095081
71650,71,7551014229
431695,196,7551125322
931576,196,7551154381
931522,196,7551153503
80799,150,7551063256
372891,204,7551151517
372688,204,7551152317
14581,15,40232
59510,4,0
57106,71,7551092272
71871,71,7551013933
401009,150,83300002518
373965,204,7551171457
373242,204,7551142227
374013,204,7551167375
63245,4,0
401064,150,83300002461
373981,204,7551166858
400569,150,7551134564
77884,84,0
374351,204,7551172049
372997,204,7551150823
9830,4,0
20617,71,7551003247
401544,150,83300001027
374464,204,7551171818
931661,196,7551153552
373792,204,7551135102
373252,204,7551137814
373535,204,7551144208
